observation_date,A034RC1A027NBEA
1929-01-01,50.460
1930-01-01,46.214
1931-01-01,39.157
1932-01-01,30.514
1933-01-01,29.027
1934-01-01,33.734
1935-01-01,36.722
1936-01-01,41.954
1937-01-01,46.139
1938-01-01,43.013
1939-01-01,45.985
1940-01-01,49.860
1941-01-01,62.085
1942-01-01,82.098
1943-01-01,105.786
1944-01-01,116.749
1945-01-01,117.493
1946-01-01,112.005
1947-01-01,123.097
1948-01-01,135.550
1949-01-01,134.733
1950-01-01,147.253
1951-01-01,171.607
1952-01-01,185.636
1953-01-01,198.989
1954-01-01,197.263
1955-01-01,212.151
1956-01-01,229.026
1957-01-01,239.951
1958-01-01,241.317
1959-01-01,259.842
1960-01-01,272.855
1961-01-01,280.519
1962-01-01,299.358
1963-01-01,314.851
1964-01-01,337.788
1965-01-01,363.757
1966-01-01,400.321
1967-01-01,429.009
1968-01-01,471.972
1969-01-01,518.333
1970-01-01,551.560
1971-01-01,584.549
1972-01-01,638.785
1973-01-01,708.762
1974-01-01,772.282
1975-01-01,814.838
1976-01-01,899.745
1977-01-01,994.158
1978-01-01,1120.570
1979-01-01,1253.314
1980-01-01,1373.422
1981-01-01,1511.373
1982-01-01,1587.517
1983-01-01,1677.513
1984-01-01,1844.915
1985-01-01,1982.550
1986-01-01,2102.335
1987-01-01,2256.267
1988-01-01,2439.782
1989-01-01,2583.051
1990-01-01,2741.199
1991-01-01,2814.478
1992-01-01,2965.541
1993-01-01,3079.340
1994-01-01,3236.589
1995-01-01,3418.022
1996-01-01,3616.469
1997-01-01,3876.844
1998-01-01,4181.616
1999-01-01,4457.926
2000-01-01,4824.946
2001-01-01,4953.635
2002-01-01,4995.843
2003-01-01,5138.269
2004-01-01,5421.014
2005-01-01,5691.379
2006-01-01,6056.739
2007-01-01,6396.392
2008-01-01,6534.095
2009-01-01,6249.110
2010-01-01,6372.510
2011-01-01,6626.182
2012-01-01,6928.124
2013-01-01,7113.994
2014-01-01,7476.332
2015-01-01,7859.482
2016-01-01,8091.239
2017-01-01,8474.410
2018-01-01,8899.824
2019-01-01,9325.144
2020-01-01,9465.660
2021-01-01,10315.597
2022-01-01,11123.119
2023-01-01,11725.244
2024-01-01,12421.610
